X,Y,OBJECTID,TRAILSYSID,SITENAME,SITEADDR,TOWNNO,PARKING,TRAILRPKNG,RESTROOM,FOOD,WATER,OPENWHEN,PARKINGNUM
1259879.45100001,815991.474999994,168,77,Hwy 14A,Hwy 14A,136,Non Parking,False,False,False,False,Year-round,0
1259323.79899999,816045.691,169,77,Spring Lake Rd.,Spring Lake Rd.,136,Non Parking,False,False,False,False,Year-round,0
1252273.517,819667.545000002,170,77,Hwy 14,Hwy 14,136,Parking Lot,False,False,False,False,Year-round,4
1250768.50399999,820784.108999997,171,77,Main St.,Main St.,136,Non Parking,False,False,False,False,Year-round,0
1251324.37800001,820478.253999993,172,0,Industrial Park Rd.,Industrial Park Rd.,136,Non Parking,False,False,False,False,Year-round,0
1109494.37100001,833982.399000004,173,85,Bear Swamp Rd.,Bear Swamp Rd.,2,Roadside Parking,False,False,False,False,Year-round,2
1110291.31999999,839460.238000005,174,85,Nathan Hale Homestead,Nathan Hale Rd.,32,Parking Lot,False,False,False,False,Year-round,10
909170.033000007,681376.516000003,175,302,BJ's Parking Lot,Division St.,2,Parking Lot,True,False,False,False,Year-round,20
909223.621000007,675808.237000003,176,303,Deerfield Meat,Route 34,36,Parking Lot,True,False,False,False,Year-round,0
916524.739999995,686660.128999993,177,301,Ansonia Nature center,Deerfield Rd.,2,Parking Lot,True,True,False,False,Year-round,50
911587.799999997,705998.421000004,178,307,Stop and Shop,RTE 313 & RTE 67,124,Parking Lot,True,False,False,False,Year-round,0
911414.934,715687.770999998,179,307,DOT,RTE 42,124,Parking Lot,True,False,False,False,Year-round,0
917199.504999995,706446.847000003,180,308,Seymour Land Trust,Chatfield St.,124,Parking Lot,True,True,False,True,Year-round,4
913718.961999997,747441.128999993,181,141,Hwy 63,Hwy 63,88,Parking Lot,False,False,False,False,Year-round,15
911961.056999996,746317.554000005,182,144,King St.,King St.,88,Non Parking,False,False,False,False,Year-round,0
905275.098000005,746785.341999993,183,144,Shadduck Rd.,Shadduck Rd.,81,Roadside Parking,False,False,False,False,Year-round,2
888938.908999994,733781.574000001,184,144,Pope Rd.,Pope Rd.,108,Non Parking,False,False,False,False,Year-round,0
886954.018999994,731278.548999995,185,144,Hwy 188,Hwy 188,130,Roadside Parking,False,False,False,False,Year-round,2
884282.305000007,731242.338,186,144,Hwy 67,Hwy 67,130,Non Parking,False,False,False,False,Year-round,0
882484.650000006,731644.722000003,187,144,Curt Smith Rd.,Curt Smith Rd.,130,Non Parking,False,False,False,False,Year-round,0
876879.692000002,732762.196999997,188,144,Jeremy Swamp Rd.,Jeremy Swamp Rd.,130,Non Parking,False,False,False,False,Year-round,0
874791.579999998,733156.508000001,189,144,Hwy 484,Hwy 484,130,Non Parking,False,False,False,False,Year-round,0
890383.387999997,731699.321999997,190,144,Hawley Rd.,Hawley Rd.,108,Non Parking,False,False,False,False,Year-round,0
893916.261999995,730931.268000007,191,144,Christian St.,Christian St.,108,Non Parking,False,False,False,False,Year-round,0
899321.125,734020.912,192,144,Riggs St.,Riggs St.,108,Non Parking,False,False,False,False,Year-round,0
900485.964000002,736746.662,193,144,Towantic Hill Rd.,Towantic Hill Rd.,108,Non Parking,False,False,False,False,Year-round,0
900873.363999993,738907.498999998,194,144,Long Meadow Rd.,Long Meadow Rd.,108,Non Parking,False,False,False,False,Year-round,0
903391.140000001,742553.230000004,195,144,South St.,South St.,81,Non Parking,False,False,False,False,Year-round,0
